ba_score,beer_number,comment,date,feel,look,overall,rdev,smell,taste,username
3.92,218559,,"Jul 15, 2017",4.25,4.25,4,,3.5,4,SaxmanRick
3.28,218559,,"May 01, 2017",3.25,3.75,3.25,,3.25,3.25,Taphouse_Traveler
3,218559,,"Jul 03, 2016",3,3,3,-6.5%,3,3,FitgerFanatic
3.52,218559,,"Jun 29, 2016",3.5,3.75,3.5,,3.5,3.5,SortaAmbivalent
2.35,218559,,"Apr 03, 2016",3.5,3.5,1.75,-26.8%,3.5,1.5,Dave2234
4.75,218561,,"Nov 13, 2016",4.75,4.75,4.75,,4.75,4.75,Hopstout
3.75,218561,,"Jul 03, 2016",3.75,3.75,3.75,-14.8%,3.75,3.75,FitgerFanatic
4.1,218561,,"Jun 29, 2016",4,4,4,-6.8%,4,4.25,SortaAmbivalent
5,218561,,"Apr 02, 2016",5,5,5,,5,5,RyleeLogan
3.7,203459,,"Nov 18, 2017",4,3.5,3.75,-2.1%,3.5,3.75,crobinso
3.64,203459,,"Jul 13, 2017",3.5,3.75,3.5,-3.7%,4,3.5,npachl
4,203459,,"Nov 06, 2016",4,4,4,,4,4,msumike89
4,203461,,"Feb 06, 2018",4,4,4,-5%,4,4,COR8RFAN
3.73,203461,,"Oct 12, 2016",3.5,3.75,3.75,-11.4%,3.75,3.75,StonedTrippin
4,203461,,"Oct 11, 2016",4,4,4,-5%,4,4,Ardeer
4.91,203461,,"Oct 02, 2016",5,4.5,5,,4.75,5,Buannaich
4.21,203461,,"Jun 05, 2016",4.25,4.5,4.25,,4,4.25,Panama69
4.09,203459,,"Sep 25, 2016",4.25,4,4,,4.25,4,Haybeerman
3.55,203459,,"Jul 10, 2016",3.5,3.5,3.75,-6.1%,3.5,3.5,Buannaich
3.44,203459,,"Jan 17, 2016",3.5,3.5,3.5,-9%,3.25,3.5,cherche
4.02,203459,"Look: Clear gold color with a small white head and some lacing on glass.<br>
<br>
Smell: Grainy malt, lemon a little clove some spiciness<br>
<br>
Taste: Pleasant malty graininess, with a little citrus and a nice rye spiciness<br>
<br>
Feel: Light body and mouthfeel, quite easy drinking<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">263 characters</span><br><br>","Dec 11, 2015",4,4.25,4,,4,4,Parmesan
4.77,203461,,"May 20, 2016",5,4.5,4.5,,5,4.75,Mgcarney
3.83,203461,,"May 20, 2016",3.75,4,3.75,-9%,4,3.75,West_Chester_Ale_Tester
4.24,203461,,"Dec 13, 2015",4.25,4,4.25,,4.25,4.25,crobinso
3.8,95837,,Saturday at 03:30 AM,4,3.5,3.75,-4%,3.5,4,Antwon616
2.4,95837,,"May 08, 2018",3.25,3,1.25,-39.4%,3.5,2,Gamecat
2.58,95837,,"Apr 30, 2018",2.75,3.75,2.5,-34.8%,2,2.75,Urk1127
3.79,95837,"Poured into a tall clear glass. Has a hazy yellow-green color like straw. Moderate carbonation, head dissipates quickly, minimal lacing.<br>
<br>
Smells of cucumber and sour apple. Lemon, melon, coriander notes.<br>
<br>
Tastes heavily of cucumber and sour apple candy. Slight lemon note, with cantaloupe and mild wheat. Feel is somewhat smooth. Overall, a lack of hop spiciness but still a very sweet juicy drink.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">398 characters</span><br><br>","Apr 28, 2018",3.5,3.75,3.75,-4.3%,4,3.75,Dr_Gonzo
